t_s,pre_ms,infer_ms,post_ms,loop_fps,detections
8.06,10.9,27.9,6.3,12.4,5
8.14,10.2,27.9,5.9,12.5,2
8.22,10.6,28.0,6.2,12.5,4
8.30,10.1,27.8,6.2,12.4,3
8.39,10.7,28.0,6.2,12.3,4
8.47,10.7,28.1,5.9,12.4,2
8.55,10.7,27.9,5.9,12.5,2
8.67,19.4,31.9,6.1,7.8,3
8.80,19.9,28.0,6.1,8.0,2
8.88,10.2,28.0,6.1,12.5,3
8.96,10.7,28.0,5.9,12.4,2
9.04,10.7,27.9,6.0,12.4,2
9.12,10.8,28.1,6.4,12.3,4
9.20,10.8,27.9,6.1,12.4,3
9.28,10.8,28.0,6.1,12.3,4
9.37,10.6,28.0,6.3,12.4,3
9.45,10.7,27.9,6.0,12.5,3
9.53,10.1,27.9,6.0,12.5,3
9.61,10.7,29.0,6.0,12.3,2
9.69,10.9,28.2,5.9,12.4,2
9.77,10.8,28.2,6.1,12.5,3
9.85,10.8,28.0,6.0,12.4,2
9.93,10.9,28.1,6.0,12.5,3
10.01,10.8,28.2,5.9,12.5,2
10.09,10.9,28.1,5.9,12.5,2
10.17,10.3,27.8,5.9,12.7,3
10.25,10.2,28.1,5.9,12.5,2
10.33,10.8,28.0,6.1,12.5,4
10.41,11.0,28.3,6.2,12.3,2
10.49,10.1,28.2,5.9,12.5,2
10.57,10.2,28.0,6.3,12.5,3
10.65,10.9,28.2,5.9,12.4,2
10.73,10.1,28.1,6.2,12.6,4
10.81,10.8,28.0,6.2,12.4,3
10.89,10.8,28.4,5.8,12.4,2
10.97,10.6,28.2,6.3,12.5,4
11.05,10.9,28.1,7.7,12.1,3
11.13,10.8,27.8,5.9,12.5,3
11.21,10.2,28.4,6.1,12.4,3
11.29,10.7,28.5,6.2,12.4,2
11.37,10.2,28.1,5.9,12.6,2
11.45,10.8,28.3,6.1,12.5,4
11.53,10.3,28.1,5.9,12.5,2
11.61,10.2,28.1,6.1,12.6,3
11.69,10.7,28.4,6.2,12.4,4
11.77,10.7,27.9,5.9,12.5,2
11.85,10.7,28.3,6.0,12.5,3
11.94,11.7,28.4,6.0,12.2,3
12.02,10.9,28.2,5.9,12.4,3
12.10,10.8,28.0,6.1,12.5,4
12.18,10.5,28.0,6.1,12.4,4
12.26,9.9,28.3,6.2,12.5,3
12.34,10.8,28.1,6.1,12.5,4
12.42,10.7,28.3,5.8,12.4,2
12.50,11.0,28.6,5.9,12.4,3
12.58,10.8,28.0,5.9,12.5,3
12.66,10.9,28.9,6.4,12.0,3
12.74,10.2,28.3,6.0,12.5,3
12.82,10.1,28.3,6.2,12.5,4
12.90,10.2,28.3,6.2,12.4,4
12.98,10.4,28.0,5.8,12.5,2
13.06,10.9,28.2,5.9,12.5,2
13.14,10.2,28.2,6.0,12.6,2
13.22,10.8,28.4,6.1,12.5,2
13.30,10.9,28.2,6.0,12.4,3
13.38,10.2,28.3,5.9,12.5,2
13.46,10.4,28.0,5.9,12.6,2
13.54,10.9,28.2,5.8,12.5,2
13.62,10.0,28.1,6.0,12.6,2
13.70,11.0,28.0,5.9,12.5,3
13.78,10.8,28.0,5.9,12.5,2
13.86,11.1,28.0,5.9,12.5,2
13.94,10.2,27.9,5.9,12.6,2
14.02,10.5,27.9,6.0,12.5,2
14.10,10.2,27.8,6.2,12.7,4
14.18,10.8,28.0,5.9,12.4,2
14.26,10.8,28.0,5.9,12.6,3
14.34,10.9,27.9,5.9,12.5,2
14.42,10.2,28.0,5.9,12.7,2
14.50,10.9,27.8,5.9,12.5,3
14.58,10.9,28.4,5.9,12.4,3
14.66,10.8,28.6,5.9,12.4,2
14.74,10.6,29.3,6.1,12.2,4
14.82,10.7,28.4,6.2,12.3,4
14.91,10.7,29.5,6.1,12.1,4
14.99,10.8,28.9,6.1,12.2,2
15.08,10.9,35.8,5.9,11.3,2
15.21,21.2,36.9,5.9,7.4,2
15.33,16.4,29.3,5.9,8.1,3
15.42,10.1,29.3,6.0,12.3,2
15.50,10.8,28.6,6.0,12.3,3
15.58,10.0,29.8,6.1,12.1,3
15.66,11.1,28.7,6.1,12.2,3
15.74,10.1,29.8,5.9,12.2,2
15.82,10.2,28.8,6.1,12.5,4
15.90,10.1,29.4,5.9,12.2,3
15.99,10.1,28.6,6.4,12.4,4
16.07,10.6,29.4,6.2,12.1,4
16.15,10.7,29.4,6.1,12.1,3
16.23,10.8,28.1,6.4,12.1,5
16.31,10.7,28.3,6.0,12.3,4
16.40,10.9,28.0,6.2,12.4,4
16.48,10.3,28.2,6.1,12.4,4
16.56,10.8,28.0,6.3,12.4,4
16.64,10.8,27.9,6.3,12.3,5
16.72,10.7,27.8,7.1,12.3,5
16.80,10.2,27.9,6.1,12.5,4
16.88,10.3,27.8,6.2,12.5,4
16.96,10.9,27.8,6.1,12.3,4
17.04,10.7,28.0,6.3,12.4,5
17.12,11.4,28.0,6.3,12.3,5
17.20,10.7,27.8,6.3,12.3,5
17.29,11.2,28.0,6.6,12.3,5
17.37,10.8,27.9,6.0,12.4,4
17.45,10.6,28.1,6.2,12.4,4
17.53,10.3,27.9,6.3,12.5,5
17.61,10.8,28.0,6.3,12.2,5
17.69,10.7,27.9,6.1,12.4,3
17.77,10.8,28.3,6.5,12.3,5
17.85,10.8,28.0,6.4,12.3,5
17.93,10.8,27.8,6.3,12.3,5
18.01,10.8,27.8,6.1,12.4,4
18.09,10.1,27.9,6.2,12.5,4
18.17,10.8,28.1,6.2,12.4,4
18.26,10.6,28.3,6.8,12.1,5
18.34,10.8,27.9,6.3,12.3,5
18.42,10.9,28.0,6.2,12.4,4
18.50,10.2,27.8,6.1,12.5,5
18.58,10.7,28.3,8.5,12.0,4
18.66,10.8,28.2,6.2,12.3,4
18.74,10.7,28.2,6.8,12.3,4
18.83,10.8,28.3,6.2,12.4,4
18.91,11.6,28.5,6.3,12.1,4
18.99,10.8,28.1,6.2,12.4,5
19.07,10.9,28.2,6.3,12.3,5
19.15,11.0,28.1,6.2,12.3,4
19.23,10.9,28.1,6.2,12.3,4
19.31,10.8,28.3,6.3,12.4,4
19.39,10.2,28.5,6.1,12.4,4
19.48,10.6,28.4,6.2,12.4,4
19.56,10.2,28.1,6.2,12.5,4
19.64,10.7,28.5,6.3,12.1,4
19.72,10.7,28.1,6.2,12.3,4
19.80,10.3,28.1,6.2,12.5,4
19.88,10.8,27.8,6.2,12.4,4
19.96,10.9,28.0,6.2,12.4,4
20.04,10.5,28.2,6.2,12.4,5
20.12,10.7,28.2,6.3,12.3,5
20.20,10.8,28.3,6.5,12.3,5
20.29,10.7,28.1,6.2,12.2,4
20.37,10.9,28.1,6.3,12.4,5
20.45,10.3,29.3,6.6,12.2,4
20.53,10.8,28.5,6.3,11.9,4
20.61,10.2,28.0,6.6,12.4,5
20.69,10.3,27.9,6.3,12.4,5
20.78,10.8,27.7,7.3,12.2,5
20.86,10.2,27.8,6.4,12.4,5
20.94,10.0,28.0,6.2,12.4,4
21.02,10.8,28.0,6.2,12.4,4
21.10,10.9,27.9,6.1,12.4,4
21.18,10.9,28.3,6.2,12.4,5
21.26,10.8,28.0,6.1,12.3,4
21.34,10.1,28.1,6.2,12.4,4
21.42,10.7,28.0,6.2,12.3,3
21.50,10.8,28.0,6.4,12.4,5
21.59,12.6,28.0,6.3,11.9,4
21.69,12.8,28.1,6.0,9.6,3
21.82,21.0,27.8,6.1,7.6,4
21.90,10.7,28.1,6.2,12.3,3
21.98,10.7,27.8,6.1,12.4,3
22.07,10.6,27.9,6.3,12.4,4
22.15,10.6,28.0,6.1,12.4,4
22.23,10.7,27.9,5.9,12.4,2
22.31,10.6,28.0,6.1,12.5,3
22.39,10.2,27.9,5.9,12.5,2
22.47,10.9,27.9,6.2,12.5,3
22.55,11.7,27.9,6.1,12.3,4
22.63,10.7,28.0,6.4,12.3,4
22.71,10.9,27.9,6.0,12.4,3
22.79,10.9,27.9,6.1,12.5,4
22.87,10.3,27.9,6.2,12.5,4
22.95,10.9,27.8,6.1,12.4,4
23.03,10.8,28.0,6.2,12.3,4
23.11,10.7,27.8,5.9,12.5,2
23.19,10.8,27.9,6.6,12.4,3
23.27,11.4,28.0,6.0,12.4,3
23.35,10.8,28.0,6.1,12.4,4
23.43,10.0,28.1,6.0,12.5,4
23.52,11.0,27.8,6.0,12.4,4
23.60,10.7,27.9,6.1,12.4,4
23.68,10.8,27.9,6.0,12.3,4
23.76,10.2,28.0,6.0,12.5,3
23.84,11.2,28.1,6.1,12.4,3
23.92,10.9,27.9,6.1,12.4,4
24.00,10.8,27.8,6.1,12.4,4
24.08,10.9,27.8,6.1,12.4,4
24.16,10.9,27.9,8.0,12.1,4
24.24,10.9,27.8,6.2,12.3,4
24.32,10.8,27.8,6.2,12.4,4
24.40,10.7,28.0,6.1,12.4,4
24.49,10.9,27.9,6.1,12.4,4
24.57,10.8,28.2,6.1,12.4,4
24.65,11.0,28.0,5.9,12.4,3
24.73,10.2,28.4,6.7,12.4,3
24.81,10.3,28.1,6.6,12.4,4
24.89,10.8,28.5,6.2,12.3,3
24.97,10.7,27.9,5.9,12.5,3
25.05,10.8,28.3,6.0,12.3,3
25.13,10.8,28.2,6.5,12.4,4
25.21,10.3,28.0,5.9,12.5,3
25.29,10.5,28.3,6.1,12.5,4
25.37,11.3,28.0,6.3,12.3,5
25.45,10.8,28.1,6.1,12.3,4
25.53,10.9,28.3,6.1,12.4,3
25.62,11.0,27.9,6.5,12.1,5
25.70,10.8,28.2,6.4,12.2,3
25.78,10.9,27.8,6.1,12.4,4
25.86,10.4,27.8,6.0,12.5,3
25.94,10.8,27.9,6.0,12.4,4
26.02,10.3,27.8,5.8,12.5,3
26.10,10.8,27.9,6.2,12.5,4
26.18,10.8,27.8,6.1,12.4,4
26.26,10.7,28.1,6.1,12.4,4
26.34,10.1,27.9,6.2,12.4,4
26.42,10.8,27.9,6.2,12.4,4
26.50,10.2,27.8,6.2,12.5,4
26.58,10.3,28.0,6.0,12.5,3
26.66,10.7,27.9,6.2,12.4,4
26.74,10.8,28.0,6.1,12.4,4
26.82,10.7,28.0,6.2,12.4,4
26.90,10.3,27.9,6.0,12.5,3
26.98,10.3,27.9,6.0,12.5,3
27.07,11.1,27.9,6.1,12.3,4
27.15,10.2,28.1,5.9,12.5,2
27.23,10.8,27.9,6.1,12.5,4
27.31,10.8,27.8,6.0,12.4,4
27.39,10.9,27.9,6.1,12.4,4
27.47,10.3,27.8,5.8,12.5,2
27.55,10.8,28.4,7.1,12.3,4
27.63,11.1,28.0,6.2,12.3,4
27.71,10.9,29.8,6.1,11.9,4
27.80,10.8,28.7,6.1,12.1,3
27.88,10.9,30.2,6.1,12.0,3
27.96,10.6,28.9,6.3,12.2,4
28.05,11.4,35.8,6.6,11.0,4
28.21,18.6,50.4,6.2,6.5,4
28.32,12.2,29.8,6.1,9.1,4
28.40,10.2,28.5,6.3,12.2,4
28.48,10.5,29.8,6.1,11.9,4
28.56,10.6,29.0,6.2,12.0,4
28.65,10.7,30.0,6.2,12.0,4
28.73,10.8,28.7,6.0,12.3,3
28.81,10.3,29.9,6.1,12.2,4
28.89,10.8,28.9,7.7,12.0,5
28.98,10.2,29.8,6.3,12.1,4
29.06,10.6,28.5,6.2,12.2,4
29.14,10.7,28.3,6.1,12.2,4
29.22,10.3,28.0,6.3,12.5,4
29.30,10.3,28.4,6.0,12.4,3
29.38,10.9,28.8,7.2,12.2,4
29.47,10.9,28.1,6.0,12.4,3
29.55,10.6,29.1,6.3,12.2,4
29.63,10.1,28.6,6.2,12.3,3
29.71,10.1,28.9,6.1,12.3,4
29.79,10.9,28.0,6.2,12.3,4
29.87,10.3,28.2,6.1,12.4,4
29.95,10.8,28.2,6.1,12.4,3
30.03,10.8,28.5,6.0,12.4,3
30.11,10.2,28.1,6.1,12.5,3
30.19,10.8,27.9,6.0,12.5,3
30.27,10.3,28.0,6.0,12.5,3
30.35,10.1,28.4,6.3,12.5,4
30.44,10.9,28.2,6.0,12.3,4
30.52,10.7,28.3,6.4,12.2,3
30.60,10.8,28.4,5.9,12.4,2
30.68,10.9,28.2,6.0,12.5,3
30.76,11.4,28.4,5.9,12.3,3
30.84,10.8,29.0,6.3,12.3,4
30.92,10.4,28.1,5.9,12.5,2
31.00,10.8,29.1,6.1,12.3,3
31.08,10.7,28.6,6.0,12.4,3
31.17,10.9,27.8,7.8,12.1,3
31.25,10.7,28.5,6.9,12.1,3
31.33,10.9,27.9,6.0,12.4,3
31.41,10.9,28.3,8.3,12.0,4
31.49,10.9,27.9,6.0,12.4,3
31.57,10.9,28.8,6.3,12.2,3
31.65,10.9,28.3,6.1,12.4,3
31.73,10.7,28.2,5.9,12.4,3
31.82,11.1,28.5,6.0,12.3,3
31.90,10.1,28.5,6.0,12.2,3
31.98,10.7,28.1,6.3,12.4,4
32.06,10.8,28.2,6.0,12.4,4
32.14,10.8,28.2,5.8,12.4,2
32.22,10.7,27.8,5.9,12.6,3
32.30,10.9,28.3,6.1,12.3,4
32.38,10.7,28.2,6.1,12.4,3
32.46,10.8,28.4,5.9,12.4,3
32.54,10.1,28.3,6.1,12.4,3
32.62,10.2,28.4,5.8,12.5,2
32.70,10.9,28.4,5.8,12.4,2
32.78,10.9,28.2,5.8,12.5,3
32.86,10.9,28.3,6.0,12.4,3
32.94,10.8,28.1,6.2,12.4,4
33.03,10.8,28.3,6.0,12.3,4
33.11,10.8,28.2,6.0,12.4,3
33.19,10.2,28.2,6.1,12.4,4
33.27,10.3,28.2,6.0,12.4,4
33.35,10.9,27.9,6.2,12.4,4
33.43,10.8,28.1,6.2,12.3,4
33.51,10.7,28.4,6.1,12.4,3
33.59,10.2,27.8,6.0,12.6,3
33.67,10.2,27.8,6.1,12.5,4
33.75,10.5,27.9,6.1,12.4,4
33.83,10.8,27.8,6.0,12.2,4
33.91,10.9,28.3,6.1,12.2,3
33.99,10.7,27.9,6.0,12.4,4
34.08,11.1,28.0,6.4,12.3,3
34.16,10.7,27.9,6.2,12.4,4
34.24,11.2,28.1,6.9,12.1,4
34.32,10.6,28.0,6.1,12.3,4
34.40,10.6,28.0,6.3,12.3,4
34.48,10.8,28.0,6.1,12.4,4
34.57,13.2,27.9,6.1,11.8,4
34.70,25.3,28.0,6.1,7.6,3
34.81,10.6,28.1,6.2,8.8,4
34.89,10.6,27.9,6.1,12.4,4
34.97,10.6,28.0,6.0,12.4,3
35.06,10.7,27.9,6.0,12.4,3
35.14,10.8,28.0,6.2,12.4,4
35.22,11.4,28.0,6.1,12.3,4
35.30,10.7,27.9,6.0,12.3,3
35.38,10.7,27.9,6.1,12.4,3
35.46,10.1,28.0,6.0,12.5,4
35.54,10.2,28.1,6.2,12.4,3
35.62,10.8,27.9,6.0,12.4,3
35.70,10.8,28.2,5.9,12.5,3
35.78,11.0,28.0,6.2,12.4,4
35.86,10.2,28.3,6.2,12.4,4
35.94,11.0,27.8,5.9,12.3,3
36.02,10.9,27.9,6.1,12.3,4
36.10,10.2,27.9,6.2,12.5,4
36.18,10.8,27.9,6.2,12.4,4
36.27,10.8,27.9,6.0,12.4,4
36.35,10.2,28.0,6.1,12.5,3
36.42,10.2,27.8,6.0,12.5,3
36.50,10.0,28.2,6.5,12.5,4
36.59,10.6,27.9,5.9,12.4,3
36.67,11.1,27.8,6.8,12.2,4
36.75,10.6,27.9,6.1,12.4,4
36.83,10.2,28.0,6.4,12.4,4
36.91,10.8,28.5,6.0,12.3,3
36.99,10.9,27.9,6.0,12.4,4
37.07,10.8,28.2,6.1,12.4,4
37.15,10.1,27.8,6.2,12.4,4
37.23,11.0,28.0,6.7,12.2,4
37.32,10.8,27.9,6.1,12.2,4
37.40,10.7,27.9,7.2,12.2,4
37.48,10.3,28.0,6.1,12.5,3
37.56,10.1,27.9,6.2,12.5,4
37.64,12.2,28.1,6.6,12.1,3
37.72,10.3,27.9,7.0,12.4,4
37.80,11.2,28.0,6.1,12.3,3
37.88,10.7,27.9,6.0,12.3,3
37.97,11.3,28.1,6.9,12.0,4
38.05,10.7,27.9,5.7,12.4,1
38.13,10.8,28.0,6.4,12.5,3
38.21,10.3,27.9,6.0,12.5,4
38.29,10.9,27.9,6.0,12.4,3
38.37,10.3,27.8,6.8,12.4,3
38.45,10.8,27.8,6.0,12.5,3
38.53,10.9,28.5,6.5,12.3,3
38.61,10.2,28.0,5.9,12.5,2
38.69,10.9,28.0,5.9,12.5,3
38.77,12.8,28.2,5.8,12.2,3
38.85,10.6,28.2,5.9,12.4,2
38.93,11.2,28.2,6.3,12.4,3
39.01,10.7,28.4,5.9,12.4,2
39.09,11.1,28.3,5.9,12.4,2
39.17,10.2,28.0,5.9,12.6,2
39.25,10.8,28.2,6.0,12.5,4
39.34,11.3,28.2,6.2,11.8,2
39.42,10.2,28.3,5.9,12.6,3
39.50,10.2,28.0,6.6,12.5,3
39.58,10.7,28.2,6.0,12.4,3
39.66,10.7,28.7,5.9,12.4,3
39.74,10.3,27.9,6.0,12.6,3
39.82,10.8,28.3,6.0,12.4,3
39.90,10.9,28.0,5.9,12.5,3
39.98,10.8,28.2,6.0,12.4,3
40.06,10.0,28.4,6.0,12.5,3
40.14,10.9,28.3,5.9,12.5,2
40.22,10.8,28.2,5.8,12.5,2
40.30,10.8,28.2,6.0,12.5,3
40.38,10.8,28.2,5.9,12.5,2
40.46,10.7,28.2,6.4,12.5,2
40.54,10.8,27.8,5.9,12.6,2
40.62,10.8,28.2,5.8,12.5,2
40.70,10.8,28.9,6.2,12.4,4
40.79,10.5,30.4,5.9,11.5,3
40.88,11.3,32.6,6.1,11.1,3
40.96,11.4,32.0,6.1,11.6,3
41.05,13.8,35.5,6.0,10.9,3
41.21,37.7,35.9,6.2,6.6,3
41.32,10.6,29.7,6.1,8.6,3
41.40,10.0,29.1,6.1,12.4,4
41.48,10.1,29.4,6.0,12.2,3
41.57,10.1,27.9,6.0,12.4,3
41.65,10.2,28.0,6.3,12.4,4
41.73,10.1,28.3,6.4,12.4,5
41.81,10.2,27.9,6.0,12.4,3
41.89,10.2,28.0,6.1,12.5,3
41.97,11.8,28.0,6.1,12.2,3
42.05,10.1,28.0,6.0,12.5,2
42.13,10.4,27.8,6.1,12.6,3
42.21,10.7,27.9,5.9,12.4,3
42.29,10.1,27.9,6.5,12.5,4
42.37,10.2,27.8,6.1,12.5,4
42.45,10.2,27.9,6.4,12.5,4
42.53,10.3,28.1,6.8,12.4,3
42.61,10.8,27.9,5.9,12.5,2
42.69,10.8,27.9,6.2,12.5,4
42.77,10.7,27.8,6.1,12.4,3
42.85,10.8,28.0,6.0,12.5,3
42.93,10.8,27.8,5.9,12.4,2
43.01,10.8,28.1,5.8,12.5,2
43.09,10.7,28.0,5.9,12.6,2
43.17,10.8,27.8,5.9,12.6,2
43.25,10.8,27.8,5.9,12.5,3
43.33,10.2,27.8,5.9,12.6,3
43.41,10.7,27.8,5.9,12.5,2
43.49,10.7,28.2,6.8,12.4,3
43.57,10.9,28.0,6.1,12.5,4
43.65,10.6,28.3,5.9,12.3,2
43.73,10.8,28.2,6.0,12.5,3
43.81,10.8,28.1,5.9,12.4,3
43.89,10.8,28.1,6.0,12.5,3
43.97,10.8,28.0,5.9,12.4,3
44.05,10.8,28.5,6.4,12.3,2
44.13,10.2,28.0,6.0,12.6,3
44.21,10.8,28.2,6.3,12.4,4
44.29,10.7,28.0,6.1,12.3,4
44.37,10.9,28.1,6.1,12.4,3
44.45,10.2,28.1,6.1,12.5,4
44.53,10.1,28.4,6.1,12.4,4
44.62,10.7,28.5,6.1,12.4,3
44.69,10.3,27.8,6.0,12.6,4
44.78,10.8,28.2,6.0,12.4,4
44.86,10.7,28.3,5.9,12.4,3
44.94,10.9,27.9,6.1,12.3,4
45.02,10.8,28.3,6.1,12.4,3
45.10,10.7,28.2,6.2,12.4,4
45.18,10.8,28.5,7.2,12.2,4
45.26,10.7,28.0,6.1,12.4,4
45.34,10.8,28.3,6.0,12.4,4
45.42,10.8,28.0,5.9,12.5,3
45.50,10.2,27.9,6.2,12.5,4
45.58,10.8,28.1,6.2,12.4,4
45.66,10.9,28.0,5.8,12.3,3
45.74,10.7,28.1,6.3,12.4,4
45.83,10.8,28.0,6.3,12.4,4
45.91,10.8,28.1,5.9,12.4,3
45.99,10.7,27.9,6.0,12.5,2
46.07,10.2,28.3,6.0,12.6,3
46.15,10.6,28.5,6.1,12.4,3
46.23,10.8,28.1,5.9,12.5,3
46.31,10.2,28.3,5.8,12.5,3
46.39,10.7,28.2,6.0,12.5,4
46.47,10.7,28.1,6.0,12.3,4
46.55,10.6,27.8,6.7,12.3,4
46.63,10.7,28.0,5.9,12.4,2
46.71,10.9,28.1,6.8,12.3,4
46.79,10.8,27.9,6.2,12.4,4
46.87,10.8,27.8,6.1,12.4,4
46.95,10.3,27.9,6.2,12.5,4
47.03,10.1,27.8,6.0,12.4,3
47.11,10.8,27.8,6.2,12.5,4
47.19,10.8,29.0,6.1,12.3,4
47.28,11.2,28.0,6.1,12.2,4
47.36,11.7,28.0,5.9,12.2,3
47.44,10.9,27.9,5.9,12.4,3
47.52,10.6,28.1,6.0,12.3,3
47.66,24.1,38.0,6.1,7.3,4
47.78,23.1,28.2,6.2,8.4,4
47.86,10.0,27.9,6.2,12.5,3
47.94,10.1,27.9,5.9,12.5,2
48.02,10.2,28.0,6.0,12.4,3
48.10,10.6,28.0,6.1,12.4,3
48.18,10.8,28.0,6.0,12.4,2
48.26,11.0,27.9,5.9,12.5,2
48.34,10.8,27.8,5.9,12.5,2
48.42,10.7,28.0,6.0,12.5,4
48.50,10.9,30.3,5.9,11.9,3
48.58,11.1,28.0,5.9,12.4,3
48.66,11.0,27.9,5.9,12.5,3
48.75,10.7,28.1,6.8,12.4,3
48.83,10.8,28.1,5.9,12.5,3
48.91,10.2,28.4,6.1,12.4,3
48.99,10.2,28.0,5.9,12.6,3
49.07,10.2,28.4,7.1,12.4,2
49.15,12.0,28.2,6.0,12.2,2
49.23,10.8,27.9,6.1,12.5,3
49.31,10.9,28.2,6.2,12.4,4
49.39,10.8,28.1,6.2,12.4,5
49.47,10.6,28.4,6.2,12.4,4
49.55,10.2,27.8,6.2,12.6,5
49.63,10.3,28.0,6.1,12.4,4
49.71,10.8,28.1,6.2,12.4,4
49.79,10.7,27.8,6.2,12.4,5
49.87,10.8,28.0,6.4,12.2,5
49.95,10.9,27.9,5.8,12.4,3
50.03,10.8,28.0,6.0,12.5,3
50.11,10.9,27.9,6.1,12.5,4
50.19,10.2,28.0,6.4,12.5,4
50.28,10.8,28.5,6.2,12.3,4
50.36,10.2,27.8,6.3,12.5,5
50.44,10.7,27.8,6.4,12.4,5
50.52,10.8,28.2,6.0,12.2,3
50.60,10.8,28.2,6.3,12.4,4
50.68,10.9,28.1,6.0,12.4,3
50.76,10.8,28.4,6.3,12.4,5
50.84,10.4,28.2,6.3,12.4,5
50.92,10.8,28.1,6.1,12.3,5
51.00,10.7,28.2,6.5,12.3,4
51.09,10.9,28.4,6.2,12.3,4
51.17,10.7,28.4,6.2,12.3,4
51.25,10.9,28.3,6.0,12.4,4
51.33,10.8,28.2,6.0,12.4,4
51.41,11.0,28.0,6.2,12.4,5
51.49,10.8,28.3,6.1,12.3,4
51.57,10.9,28.2,6.1,12.4,4
51.65,10.8,28.1,6.0,12.4,3
51.73,10.8,28.4,6.0,12.4,2
51.81,10.7,28.5,6.0,12.3,3
51.89,10.8,28.6,6.0,12.4,4
51.97,10.4,28.0,5.9,12.5,3
52.06,10.8,28.6,6.0,12.4,3
52.13,10.2,28.2,5.8,12.6,2
52.21,10.1,28.4,5.9,12.6,3
52.30,10.7,28.6,6.5,12.3,3
52.38,10.8,28.1,5.9,12.4,3
52.46,10.7,28.4,5.9,12.4,3
52.54,10.8,27.9,6.1,12.4,4
52.62,10.7,27.9,5.9,12.5,3
52.70,12.8,27.8,5.9,12.2,3
52.78,10.2,30.5,6.9,12.0,3
52.87,11.0,28.6,6.2,12.0,3
52.95,10.7,28.1,5.9,12.3,2
53.03,11.2,27.9,6.0,12.1,3
53.11,10.8,27.9,5.9,12.5,3
53.19,10.9,27.9,7.3,12.2,4
53.27,10.9,28.0,6.0,12.4,4
